PROFILE,OIO,VM_Name,TBytes,RBytes,WBytes,TIOS,RIOS,WIOS,TBW,RBW,WBW,TIOPS,RIOPS,WIOPS,TLAT,RLAT,WLAT
256K - 1 Thread - 100% writes -random ,1,stress-test-vm-10.90.1.4-1.txt,,0,114268307456,435899,0,435899,363.23,0.00,363.23,1452.94,0.00,1452.94,0.688,0.000,0.688
256K - 1 Thread - 100% writes -random ,1,stress-test-vm-10.90.1.5-1.txt,,0,114170265600,435525,0,435525,362.94,0.00,362.94,1451.75,0.00,1451.75,0.688,0.000,0.688
32K - 1 Thread - 100% reads -seq ,1,stress-test-vm-10.90.1.4-1.txt,,93149626368,0,2842701,2842701,0,296.11,296.11,0.00,9475.58,9475.58,0.00,0.105,0.105,0.000
32K - 1 Thread - 100% reads -seq ,1,stress-test-vm-10.90.1.5-1.txt,,93199761408,0,2844231,2844231,0,296.27,296.27,0.00,9480.76,9480.76,0.00,0.105,0.105,0.000
4K - 1 Thread - 100% writes -seq ,1,stress-test-vm-10.90.1.4-1.txt,,0,6085128192,1485627,0,1485627,19.34,0.00,19.34,4952.05,0.00,4952.05,0.202,0.000,0.202
4K - 1 Thread - 100% writes -seq ,1,stress-test-vm-10.90.1.5-1.txt,,0,6090403840,1486915,0,1486915,19.36,0.00,19.36,4956.30,0.00,4956.30,0.202,0.000,0.202
4K - 2 Threads - 100% reads -random ,16,stress-test-vm-10.90.1.4-1.txt,,154953641984,0,37830479,37830479,0,492.58,492.58,0.00,126101.53,126101.53,0.00,0.247,0.247,0.000
4K - 2 Threads - 100% reads -random ,16,stress-test-vm-10.90.1.5-1.txt,,154864029696,0,37808601,37808601,0,492.27,492.27,0.00,126022.32,126022.32,0.00,0.247,0.247,0.000
4K - 2 Threads - 100% reads -random ,8,stress-test-vm-10.90.1.4-1.txt,,125558861824,0,30654019,30654019,0,399.14,399.14,0.00,102178.60,102178.60,0.00,0.147,0.147,0.000
4K - 2 Threads - 100% reads -random ,8,stress-test-vm-10.90.1.5-1.txt,,125673902080,0,30682105,30682105,0,399.50,399.50,0.00,102271.60,102271.60,0.00,0.146,0.146,0.000
64K - 2 Threads - 100% reads -random ,128,stress-test-vm-10.90.1.4-1.txt,,1968054403072,0,30030127,30030127,0,6256.10,6256.10,0.00,100097.67,100097.67,0.00,2.514,2.514,0.000
64K - 2 Threads - 100% reads -random ,128,stress-test-vm-10.90.1.5-1.txt,,1969968316416,0,30059331,30059331,0,6262.32,6262.32,0.00,100197.13,100197.13,0.00,2.515,2.515,0.000
64K - 2 Threads - 100% reads -seq ,1,stress-test-vm-10.90.1.4-1.txt,,308849278976,0,4712666,4712666,0,981.76,981.76,0.00,15708.18,15708.18,0.00,0.127,0.127,0.000
64K - 2 Threads - 100% reads -seq ,1,stress-test-vm-10.90.1.5-1.txt,,311768580096,0,4757211,4757211,0,991.05,991.05,0.00,15856.77,15856.77,0.00,0.126,0.126,0.000
64K - 2 Threads - 100% reads -seq ,2,stress-test-vm-10.90.1.4-1.txt,,614907641856,0,9382746,9382746,0,1954.70,1954.70,0.00,31275.20,31275.20,0.00,0.127,0.127,0.000
64K - 2 Threads - 100% reads -seq ,2,stress-test-vm-10.90.1.5-1.txt,,614936870912,0,9383192,9383192,0,1954.81,1954.81,0.00,31277.03,31277.03,0.00,0.127,0.127,0.000
8K - 1 Thread - 100% writes -random ,1,stress-test-vm-10.90.1.4-1.txt,,0,10463436800,1277275,0,1277275,33.26,0.00,33.26,4257.43,0.00,4257.43,0.234,0.000,0.234
8K - 1 Thread - 100% writes -random ,1,stress-test-vm-10.90.1.5-1.txt,,0,10470834176,1278178,0,1278178,33.29,0.00,33.29,4260.48,0.00,4260.48,0.234,0.000,0.234
8K - 2 Threads - 30% writes -random ,256,stress-test-vm-10.90.1.4-1.txt,,137483132928,58911014912,23973895,16782609,7191286,624.31,437.04,187.27,79911.74,55941.16,23970.58,6.385,6.284,6.621
8K - 2 Threads - 30% writes -random ,256,stress-test-vm-10.90.1.5-1.txt,,277237039104,118829236224,48347934,33842412,14505522,1259.05,881.30,377.74,161158.35,112807.04,48351.31,3.157,3.060,3.383
